"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2044","test_click_square[UQG0220509034218]","tests","2026-01-06","passed","2026-01-06","TestClickTab","test_home_page","",""
"","6060","test_click_discovery[UQG0220509034218]","","2026-01-04","broken","2026-01-04","","","",""
"","0","test_login_succ[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","","test_login","",""
"","1364","test_click_circle[UQG0220509034218]","tests","2026-01-06","passed","2026-01-06","TestClickTab","test_home_page","",""
"","1150","test_click_discovery[UQG0220509034218]","tests","2026-01-06","passed","2026-01-06","TestClickTab","test_home_page","",""
"","177197","test_click_discovery[UQG0220509034218]","","2026-01-06","broken","2026-01-06","","","",""
"","3918","test_click_square_two[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","TestClickTab","test_home_page","",""
"","0","test_click_square[UQG0220509034218]","","2026-01-06","skipped","2026-01-06","","","",""
"","1311","test_click_message[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","TestClickTab","test_home_page","",""
"","240034","test_click_circle[UQG0220509034218]","","2026-01-06","broken","2026-01-06","","","",""
"","240033","test_click_message[UQG0220509034218]","","2026-01-06","broken","2026-01-06","","","",""
"","0","test_login_success[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","","test_login","",""
"","1749","test_click_profile[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","TestClickTab","test_home_page","",""
"","0","test_login_failure[UQG0220509034218]","tests","2026-01-04","passed","2026-01-04","","test_login","",""
